#id	warrant0	warrant1	correctLabelW0orW1	reason	claim	debateTitle	debateInfo
9975147_345_A34QZDSTKZ3JO9	scholarships would give women a chance to study	scholarships would take women from the home	0	Miss America gives honors and education scholarships.	Miss America is good for women	There She Is, Miss America	In 1968, feminists gathered in Atlantic City to protest the Miss America pageant, calling it racist and sexist. Is this beauty contest bad for women?
3651490_320_A104V8NZIQFN2F	professors are even more inflexible and indoctrinate students to their personal beliefs	professors are flexible and indoctrinate students to the power of choice	1	I found online courses to not be well designed, flexible, or conducive to discussion.	Online classes are not the best way to teach	Can Young Students Learn From Online Classes?	Online courses are increasingly common in high schools and middle schools. Is this the best way to teach that age group?
5445948_307_A247LJDZOGXJK6	that harms the company's bottom line	that helps the company's bottom line	1	Interns are replacing employees.	Unpaid internship exploit college students	Do Unpaid Internships Exploit College Students?	Should the government get tough to protect unpaid interns, or are internships a win-win?
5477096_432_A34QZDSTKZ3JO9	picking teams encourages competitiveness	picking teams is not the way the system works	1	If home schooled children get to pick a high school sports team high school kids will want to be able to play for other schools.	Home-schoolers should not play for high school teams	Should Home-Schoolers Play for High School Teams?	Home-schoolers may not want their children in the classroom but they'd like to see them on the football field. Is that their right?
13303812_159_A2GHGJP29KRWOQ	most people don't understand that natural does not mean healthy	most people understand that natural does not mean healthy	0	Labeling a product with "natural" is an attempt to portray the food as "healthy", but is often not the case.	Restrict use of the word "natural" on food labels	What Makes 'Natural' Natural?	Should the F.D.A. restrict use of the word "natural" on food labels?
3526042_138_A3TKD7EJ6BM0M5	fewer tourists at attractions is best for New Yorkers	fewer tourists at attractions is not best for New Yorkers	1	The parking problems caused by the bike lanes are ruining attractions.	New York's bike lanes are not working	Are New York's Bike Lanes Working?	Mayor Koch's bicycle network died quickly. Mayor Bloomberg's is remaking the streets of the city. What is the verdict so far?
5475504_203_AE861G0AY5RGT	there is no prejudice that needed to be overcome as a home schooled student	there are prejudices that need to be overcome as a home schooled student	1	If they play for high school team maybe they can overcome the prejudice of being home schooled.	Home-schoolers should play for high school teams	Should Home-Schoolers Play for High School Teams?	Home-schoolers may not want their children in the classroom but they'd like to see them on the football field. Is that their right?
6022328_10_A1CF6U3GF7DZEJ	vegans can't figure out how to eat without being at risk	vegans can figure out how to eat without being at risk	0	Humans are naturally omnivorous, as dictated by our physiological needs, and veganism is a health risk.	Veganism is not good for everyone	Is Veganism Good For Everyone?	Maybe some of us simply weren't built to be vegans. Is the diet good for everyone?
10396017_407_A1CF6U3GF7DZEJ	we really don't that many tradespeople	we really need more trades people	1	It can provide more vocational training which will better prepare students to handle their future jobs better.	High school should last six years	Should High School Last Six Years?	President Obama recently visited a six-year high school, highlighting it as a model for the rest of the U.S. Should it be replicated?
6953350_0_APW9F8OTJ4KXO	supporting an unappreciative country only makes the US look selfless and charitable	supporting an unappreciative country only makes the US look dumb and stingy	1	Israel doesn't appreciate what we give them.	Supporting Israel hurts	Has Support for Israel Hurt U.S. Credibility?	Is support for Israel so entrenched in American politics that the U.S. has lost credibility and influence in the Middle East?
11965227_391_A3TKD7EJ6BM0M5	a dangerous market deters children from getting involved	a regulated market deters children from getting involved	1	A regulated market has replaced an unregulated and dangerous black market.	Colorado didn't go too far with pot	Did Colorado Go Too Far With Pot?	Was the move to legalize marijuana done too quickly? Do changes need to be made to their approach?
9952573_220_A1HKYY6XI2OHO1	no one goes out to eat if they want control over what they're shoving into their mouth	people go out to eat when they want control over what they're shoving into their mouth	1	Salt shakers permit diners to control the amount of salt in their food.	Salt should have a place at the table	Should Salt Have a Place at the Table?	More restaurants have been doing without salt shakers. Some chefs say that's sensible. Some diners find it annoying.
7545952_11_A1CF6U3GF7DZEJ	I die a little but still don't mind bad tv	I mind watching bad tv	1	Reality shows cause me to die a little whenever I see them advertised even though I have watched them at times.	Reality shows are worse than other TV	Are Reality Shows Worse Than Other TV?	Is a bad reality show worse than a bad sit-com? Is a compelling one less important than a compelling scripted drama?
8832426_496_A3C9GGDXBZW62D	we need athletes to be trained for professional teams	we do not need athletes to be trained for professional teams	1	Intramural and interscholastic have a place but not college sports which just train athletes for professional teams.	Drop sports program in undergraduate schools	Dropping the Ball	Should more undergraduate schools follow in the footsteps of Spelman College and consider dropping intercollegiate sports programs?
10346152_0_A2JKETV64OU7DY	police officers have no right to privacy in many situations.	police officers also have the right to privacy in many situations.	0	Cameras should monitor police officers 24/7.	Police officers should be required to wear cameras	If Police Encounters Were Filmed	Should police officers be required to wear cameras that record their interactions with the public?
3639835_338_A3PILUAB7LZGWQ	money will be saved all the way around	money will not be saved all the way around	1	The only interest of the private sector is the bottom line profits.	Privatization is a bad deal for cities and states	Is Privatization a Bad Deal for Cities and States?	To save money, New York is turning the clock back on outsourcing by replacing private contractors with city workers.
6129077_395_A34QZDSTKZ3JO9	it's a good diet that shouldn't have to be helped with vitamins	a good diet shouldn't have to be helped with vitamins	0	Vegan options like juices and replacement items are enriched with vitamins.	Veganism is good for everyone	Is Veganism Good For Everyone?	Maybe some of us simply weren't built to be vegans. Is the diet good for everyone?
10951533_475_A1I4CYG5YDFTYM	this large economy provides boosts for the entire country's economy	this large economy doesn't provide boosts for the entire country's economy	1	They operate in such a large economy that it makes it almost impossible for smaller banks to succeed.	Big banks are out of control	Are Big Banks Out of Control?	Does the lack of legal compliance that have cost banks billions in fines show that some have gotten too big to manage properly?
