Trump's	Premise-B
candidacy	Premise-I
is	Premise-I
an	Premise-I
incontrovertible	Premise-I
sign	Premise-I
that	Premise-I
the	Premise-I
GOP	Premise-I
Is	Premise-I
in	Premise-I
a	Premise-I
deep	Premise-I
state	Premise-I
of	Premise-I
dysfunction	Premise-I
and	Premise-I
disarray	Premise-I
.	Premise-I
His	O
statements	O
clearly	O
lead	O
to	O
one	O
conclusion	O
:	O
He	O
is	O
a	O
dangerous	O
demagogue	O
in	O
the	O
mold	O
of	O
a	O
McCarthy	O
or	O
a	O
Huey	O
Long	O
.	O
Electing	O
him	O
would	O
endanger	O
our	O
system	O
and	O
open	O
us	O
up	O
an	O
American	O
Putsch	O
.	O
She	O
is	O
entirely	O
right	O
to	O
be	O
alarmed	O
.	O
Anyone	O
with	O
an	O
ounce	O
of	O
sense	O
already	O
is	O
.	O
