" "	competence	feedbacks	firstAssignment	firstHIT	hits	timeAvg	timeMax	timeMin	timeStdev
A104V8NZIQFN2F	0.327		308Q0PEVB9PN4LNAGETC5FMXPGM9IQ	3I7KR83SNAPBOWG5QF9MUB5Q2J89K9	107	322	907	85	155
A1DBPM1UHEP4MU	0.191		3U5NZHP4LSE80DSXRL7ORTLXU4OPH1	3A3KKYU7P3THQGTG42WUN855PPOWMR	4	532	725	444	130
A1FBBY2JJYRMRI	0.156		3E13VNJ1NO75FGKFC1EJQ94ER1S1IX	3R5LWXWHR0KWN62K34ULCMZF25IGXW	3	202	230	179	26
A1I4CYG5YDFTYM	0.170		3TDXMTX3CC60M2LCI7Q0L5VVZCAI6E	3XEIP58NL0Z1ETG0FDFMMZKY6M2LZ4	49	152	301	97	37
A1M5QEN7OHRWOI	0.002		33LK57MYLUHR4Q8JPOHPM5UDDKRSZ1	3KQC8JMJGC4Y74QH3L5FQ6MCAAV3HJ	1	472	472	472	0
A1PIWJSP8Q5UW7	0.455		3E7TUJ2EGDY6WA7OO0S1EI6KXAUD96	3JHB4BPSFKLXZZE03KTJQXHZ1P09Q1	28	497	909	232	188
A1S7LZJHFQSMU8	0.106		3NL0RFNU0GZDDA7MZMIX1NQUVPRK44	3FULMHZ7OU95HEAWUWQBSGME5WPM4V	2	562	899	224	477
A1US7KJA2ZOHSA	0.268		3B837J3LDP8I2ZMSF7NC02SE400RST	338431Z1FLR0INX6IO11SDMTSAOORV	4	659	1145	345	341
A20MYUKGSXUKM7	0.002	This is my first HIT for you on this task, so expect my work to get progressively better. Please email me with any feedback if I am not doing them up to par. I found the first two in this HIT a little difficult because of the wording in the first one, and the second one seemed already very simple.  savageturkage@gmail.com	3FFJ6VRIL2058RZXGIAJC4L4MDR0I6	3Y3N5A7N4GLLFLOGJ3EI85QL0XOMYG	1	1062	1062	1062	0
A21I4DTJGWJYQJ	0.241		3CN4LGXD5Y08XFW331JOAV55T484YR	3W0KKJIARRLBARXVLN38UFAFIDQK8V	10	108	145	49	26
A26XN1TM6CV01T	0.002		3B3WTRP3DCEJT098RB8KIZFG0N529U	367O8HRHKGK8F9N1ETMX4PLKXL7S4D	1	291	291	291	0
A29BHDBJ5CM266	0.100		3Q5C1WP23NDT3SP05HVP1009MHE51N	3R16PJFTS33ARQAT9KDVD3UAGRUK4O	29	162	296	87	49
A2A67BDUFG5RCH	0.217		3RKNTXVS3NA71XY0NV5879NYQJ8A42	36D1BWBEHNDVE0V9QI7NZ1PGLIU2MG	1	568	568	568	0
A2GK75ZQTX2RDZ	0.002		3FQ5JJ512M0ZZIHSHRXT0WWUM6LNK1	31KSVEGZ3448NW689ASB97ZFVCNRWA	1	1109	1109	1109	0
A2T1K94BLNDBAH	0.217		324G5B4FB4K8J7I1XR6MLFVV8ZI70O	3QGHA0EA0JCL7PPJDD6L9SUBDQKWB2	1	381	381	381	0
A2VI5OSZ96YTO0	0.218	Really enjoyed this innovative approach to deciphering arguments. Hope these answers help your research.	3PDJHANYK6S0Q7ASCP8FLTUG06DH6H	3UQVX1UPFSTYBMO21DKP14I3IFT205	1	371	371	371	0
A314XJY8V1YL12	0.001		3K9FOBBF2IVAJOZA2R9UFW99BBWNLK	3I4E7AFQ2KBZXRJ160ERKW6PH1BJTK	3	643	808	398	216
A339ZXUGPYUANN	0.001		326O153BMJANR6Y5WB8N6W7VO7LEDS	360ZO6N6J1V6EKG8BRM29OXURO39ME	2	475	538	411	90
A33LYSCQQU1YDJ	0.042		3QRYMNZ7FZTY217FB0BL1NJQ5N9TNI	3JTPR5MTZSOSN9ETNPW5IV0OGNPK5T	5	751	1111	494	255
A34QZDSTKZ3JO9	0.320		35GCEFQ6I60NK9N4Z9GOEXM1LYDZ3P	3T8DUCXY0NIARF6SKONEV2SMLWZT9Z	68	156	474	85	63
A37CE37LHUN8M6	0.446		3KIBXJ1WD66HH3H4I6X6FLWZCLTOKU	36QZ6V1589P7W7HGTZDFHTJEWYVSU0	1	1022	1022	1022	0
