America	Premise-B
is	Premise-I
the	Premise-I
richest	Premise-I
nation	Premise-I
in	Premise-I
the	Premise-I
world	Premise-I
,	Premise-I
nearly	Premise-I
twice	Premise-I
as	Premise-I
rich	Premise-I
as	Premise-I
we	Premise-I
were	Premise-I
on	Premise-I
a	Premise-I
per	Premise-I
capita	Premise-I
basis	Premise-I
just	Premise-I
20	Premise-I
years	Premise-I
ago	Premise-I
.	Premise-I
My	O
resentment	O
is	O
with	O
the	O
hording	O
of	O
resources	O
by	O
a	O
small	O
number	O
of	O
Americans	O
for	O
their	O
own	O
benefit	O
.	O
The	O
GOP	O
supports	O
local	O
control	O
,	O
especially	O
for	O
schools	O
,	O
so	O
the	O
rich	O
won't	O
have	O
to	O
pay	O
the	O
taxes	O
it	O
costs	O
to	O
have	O
a	O
civilized	O
society	O
.	O
