Ginsburg	Premise-B
is	Premise-I
well	Premise-I
within	Premise-I
etiquette	Premise-I
..	Premise-I
her	Premise-I
comments	Premise-I
go	Premise-I
to	Premise-I
Trumps	Premise-I
fitness	Premise-I
to	Premise-I
hold	Premise-I
office	Premise-I
.....	Premise-I
a	Premise-I
matter	Premise-I
as	Premise-I
unlikely	Premise-I
to	Premise-I
be	Premise-I
before	Premise-I
the	Premise-I
SCOTUS	Premise-I
as	Premise-I
precedent	Premise-I
seems	Premise-I
to	Premise-I
suggest	Premise-I
...	Premise-I
she	O
is	O
spot	O
on	O
...	O
except	O
where	O
she	O
divines	O
what	O
her	O
late	O
husband	O
might	O
think	O
.....	O
Resurrection	O
won't	O
be	O
on	O
the	O
SCOTUS	O
calendar	O
ether	O
.	O
