The	Premise-B
red	Premise-I
meat	Premise-I
and	Premise-I
potato	Premise-I
men	Premise-I
are	Premise-I
probably	Premise-I
like	Premise-I
my	Premise-I
overweight	Premise-I
,	Premise-I
high	Premise-I
blood	Premise-I
pressure	Premise-I
father	Premise-I
,	Premise-I
dead	Premise-I
of	Premise-I
a	Premise-I
heart	Premise-I
attack	Premise-I
at	Premise-I
56	Premise-I
.	Premise-I
Call	O
me	O
crazy	O
,	O
but	O
as	O
I	O
enter	O
my	O
mid	O
40s	O
,	O
I	O
prefer	O
to	O
eat	O
more	O
vegetables	O
,	O
lean	O
meat	O
and	O
fish	O
,	O
and	O
go	O
to	O
the	O
gym	O
(	O
or	O
otherwise	O
exercise	O
)	O
,	O
I	O
have	O
the	O
feeling	O
a	O
lot	O
of	O
my	O
peers	O
,	O
who	O
also	O
lost	O
their	O
fathers	O
at	O
what	O
today	O
seems	O
like	O
a	O
young	O
age	O
,	O
are	O
doing	O
the	O
same	O
so	O
they	O
can	O
still	O
be	O
around	O
when	O
their	O
sons	O
reach	O
their	O
mid	O
40s	O
instead	O
of	O
just	O
being	O
a	O
person	O
from	O
history	O
to	O
their	O
grandchildren	O
talked	O
about	O
now	O
and	O
then	O
.	O
