So	Premise-B
someone	Premise-I
who	Premise-I
is	Premise-I
in	Premise-I
this	Premise-I
country	Premise-I
illegally	Premise-I
,	Premise-I
ignores	Premise-I
and	Premise-I
disrespects	Premise-I
our	Premise-I
sovereignty	Premise-I
and	Premise-I
laws	Premise-I
,	Premise-I
does	Premise-I
not	Premise-I
have	Premise-I
to	Premise-I
show	Premise-I
any	Premise-I
knowledge	Premise-I
or	Premise-I
allegiance	Premise-I
to	Premise-I
our	Premise-I
nation	Premise-I
is	Premise-I
going	Premise-I
to	Premise-I
vote	Premise-I
for	Premise-I
government	Premise-I
officials	Premise-I
?	Premise-I
Worse	O
,	O
they	O
are	O
going	O
to	O
decide	O
the	O
fate	O
of	O
persons	O
in	O
criminal	O
cases	O
,	O
a	O
jury	O
supposedly	O
of	O
our	O
peers	O
but	O
instead	O
decided	O
on	O
what	O
,	O
their	O
culture	O
or	O
knowledge	O
from	O
a	O
foreign	O
land	O
,	O
often	O
places	O
that	O
do	O
not	O
have	O
our	O
constitutional	O
protections	O
?	O
Are	O
these	O
abdicates	O
insane	O
?	O
