She	Premise-B
has	Premise-I
a	Premise-I
right	Premise-I
to	Premise-I
say	Premise-I
what	Premise-I
she	Premise-I
thinks	Premise-I
I	O
suppose	O
,	O
but	O
I	O
was	O
disappointed	O
that	O
she	O
would	O
state	O
a	O
desire	O
to	O
flee	O
the	O
country	O
in	O
the	O
face	O
of	O
a	O
Trump	O
presidency	O
.	O
That	O
doesn't	O
show	O
much	O
resolve	O
,	O
toughness	O
,	O
love	O
of	O
country	O
etc	O
.,	O
god	O
forbid	O
he	O
wins	O
but	O
we	O
would	O
all	O
need	O
to	O
be	O
strong	O
lest	O
the	O
country	O
devolve	O
into	O
what	O
we	O
have	O
always	O
feared	O
it	O
could	O
whenever	O
we	O
hear	O
the	O
hate	O
spewed	O
by	O
some	O
of	O
our	O
fellow	O
citizens	O
.	O
