Marriage	Premise-B
of	Premise-I
William	Premise-I
and	Premise-I
Kate	Premise-I
will	Premise-I
work	Premise-I
out	Premise-I
because	Premise-I
of	Premise-I
the	Premise-I
mother-in-law	Premise-I
to	Premise-I
be	Premise-I
Camilla	Premise-I
,	Premise-I
who	Premise-I
came	Premise-I
into	Premise-I
the	Premise-I
royal	Premise-I
family	Premise-I
as	Premise-I
a	Premise-I
divorcee	Premise-I
and	Premise-I
middle	Premise-I
aged	Premise-I
.	Premise-I
Camilla	Premise-I
will	Premise-I
have	Premise-I
a	Premise-I
sensitive	Premise-I
feel	Premise-I
to	Premise-I
their	Premise-I
situation	Premise-I
and	Premise-I
will	Premise-I
be	Premise-I
the	Premise-I
strong	Premise-I
defensive	Premise-I
wall	Premise-I
when	Premise-I
pressures	Premise-I
will	Premise-I
be	Premise-I
built	Premise-I
up	Premise-I
by	Premise-I
the	Premise-I
royal	Premise-I
household	Premise-I
on	Premise-I
young	Premise-I
Kate	Premise-I
.	Premise-I
Diana's	O
marriage	O
failed	O
since	O
it	O
was	O
a	O
loveless	O
marriage	O
,	O
given	O
Charles	O
'	O
interest	O
elsewhere	O
.	O
Kate	O
and	O
William	O
go	O
into	O
the	O
marriage	O
deeply	O
in	O
love	O
with	O
each	O
other	O
.	O
