Well	Premise-B
,	Premise-I
that	Premise-I
guy	Premise-I
just	Premise-I
burned	Premise-I
a	Premise-I
bunch	Premise-I
of	Premise-I
paper	Premise-I
...	Premise-I
Why	Premise-I
he	Premise-I
can't	Premise-I
protest	Premise-I
against	Premise-I
fanatic	Premise-I
Muslims	Premise-I
?	Premise-I
Those	O
who	O
punished	O
him	O
are	O
just	O
getting	O
upset	O
for	O
nothing	O
.	O
Can	O
the	O
burning	O
of	O
a	O
Bible	O
or	O
a	O
Koran	O
means	O
war	O
?	O
this	O
is	O
stupid	O
.	O
People	O
must	O
learn	O
to	O
not	O
get	O
upset	O
for	O
things	O
like	O
that	O
.	O
To	O
convince	O
about	O
God	O
,	O
please	O
don't	O
use	O
terrorism	O
or	O
bullying	O
...	O
use	O
love	O
,	O
reasoning	O
,	O
and	O
wisdom	O
