Im	Premise-B
fine	Premise-I
with	Premise-I
the	Premise-I
bicyclists	Premise-I
and	Premise-I
the	Premise-I
bike	Premise-I
lanes	Premise-I
.	Premise-I
Just	O
enforce	O
traffic	O
laws	O
on	O
bicyclists	O
!!!!!	O
No	O
more	O
running	O
red	O
lights	O
or	O
stop	O
signs	O
or	O
riding	O
on	O
sidewalks	O
.	O
That's	O
all	O
I	O
ask	O
.	O
Including	O
the	O
Prospect	O
Park	O
West	O
lane	O
-	O
when	O
I	O
cross	O
that	O
bike	O
lane	O
to	O
go	O
into	O
the	O
park	O
I	O
don't	O
want	O
to	O
be	O
run	O
down	O
by	O
a	O
bicyclist	O
I	O
can	O
hardly	O
see	O
because	O
of	O
the	O
limited	O
sight	O
distance	O
.	O
As	O
a	O
driver	O
I	O
stop	O
and	O
wait	O
at	O
lights	O
,	O
and	O
so	O
should	O
the	O
bicyclists	O
.	O
