It's	Premise-B
a	Premise-I
corner	Premise-I
of	Premise-I
paradise	Premise-I
,	Premise-I
tainted	Premise-I
by	Premise-I
some	Premise-I
of	Premise-I
the	Premise-I
worst	Premise-I
pollution	Premise-I
on	Premise-I
Earth	Premise-I
.	Premise-I
We	O
should	O
have	O
insisted	O
that	O
it	O
was	O
cleaned	O
before	O
an	O
Olympic	O
bid	O
was	O
considered	O
.	O
The	O
games	O
will	O
happen	O
as	O
scheduled	O
,	O
nothing	O
we	O
can	O
do	O
about	O
it	O
now	O
.	O
But	O
in	O
reality	O
,	O
the	O
place	O
should	O
have	O
been	O
cleaned	O
before	O
the	O
games	O
were	O
awarded	O
.	O
