Seems	Premise-B
like	Premise-I
much	Premise-I
of	Premise-I
what	Premise-I
comes	Premise-I
out	Premise-I
of	Premise-I
Silicon	Premise-I
Valley	Premise-I
these	Premise-I
days	Premise-I
are	Premise-I
schemes	Premise-I
that	Premise-I
make	Premise-I
founders	Premise-I
rich	Premise-I
quickly	Premise-I
by	Premise-I
cherry	Premise-I
picking	Premise-I
easy	Premise-I
to	Premise-I
serve	Premise-I
customers	Premise-I
.	Premise-I
Uber	O
is	O
a	O
perfect	O
example	O
-	O
they	O
can	O
decline	O
to	O
serve	O
certain	O
customers	O
and	O
let	O
the	O
taxi	O
industry	O
act	O
as	O
their	O
backup	O
.	O
And	O
so	O
on	O
.	O
The	O
focus	O
on	O
green	O
energy	O
10	O
years	O
ago	O
,	O
something	O
critical	O
to	O
the	O
future	O
,	O
simply	O
didn't	O
generate	O
big	O
piles	O
of	O
money	O
quickly	O
enough	O
to	O
be	O
a	O
long	O
term	O
play	O
.	O
