I	Premise-B
appreciate	Premise-I
the	Premise-I
fact	Premise-I
that	Premise-I
the	Premise-I
NYT	Premise-I
moderates	Premise-I
comments	Premise-I
,	Premise-I
even	Premise-I
if	Premise-I
it	Premise-I
means	Premise-I
mine	Premise-I
don't	Premise-I
go	Premise-I
up	Premise-I
for	Premise-I
12	Premise-I
or	Premise-I
18	Premise-I
hours	Premise-I
.	Premise-I
That	O
said	O
,	O
there	O
does	O
seem	O
to	O
be	O
a	O
decline	O
recently	O
in	O
the	O
quality	O
of	O
some	O
comments	O
on	O
your	O
site	O
,	O
which	O
may	O
reflect	O
growing	O
crassness	O
that	O
you	O
can't	O
always	O
catch	O
,	O
or	O
that	O
you're	O
letting	O
more	O
get	O
through	O
without	O
moderation	O
.	O
Please	O
stand	O
by	O
your	O
principles	O
and	O
keep	O
the	O
conversation	O
civil	O
.	O
