One	Premise-B
thing	Premise-I
about	Premise-I
these	Premise-I
'	Premise-I
noncompete	Premise-I
agreements	Premise-I
'	Premise-I
(	Premise-I
a	Premise-I
nice	Premise-I
term	Premise-I
for	Premise-I
'	Premise-I
legalised	Premise-I
blackmail	Premise-I
'	Premise-I
)	Premise-I
is	Premise-I
that	Premise-I
they	Premise-I
actually	Premise-I
manage	Premise-I
to	Premise-I
put	Premise-I
this	Premise-I
country	Premise-I
behind	Premise-I
Russia	Premise-I
-	Premise-I
Czarist	Premise-I
Russia	Premise-I
,	Premise-I
at	Premise-I
that	Premise-I
.	Premise-I
After	O
all	O
,	O
Alexander	O
II	O
did	O
end	O
serfdom	O
back	O
in	O
1861	O
.	O
With	O
these	O
ridiculous	O
conditions	O
still	O
enforceable	O
,	O
we've	O
yet	O
to	O
do	O
so	O
.	O
Doesn't	O
this	O
make	O
you	O
proud	O
to	O
be	O
an	O
American	O
?	O
